time,ControlsOut.LowestCell,ControlsOut.VL_est,CellVoltages.MinVoltage,ControlsIn.TS_cell_low,ControlsOut.VOC,ControlsOut.Pedal,ControlsIn.TS_current,ControlsOut.TS_current,ControlsOut.TS_voltage,Energy_used kWh,ControlsOut.SoC
0.1574,,,,3.9722,,,-0.001,,,,
0.1574,3.9722,3.9722044,,,3.9723668,0.0,,-0.001,0.38200003,1.2154494e-12,0.8670512
0.1614,,,,3.9722,,,-0.003,,,,
0.1614,3.9722,3.9722037,,,3.9723668,0.0,,-0.003,0.38200003,2.4875095e-12,0.8670512
0.1654,3.9722,3.972203,,,3.9723668,0.0,,-0.003,0.38200003,3.7595695e-12,0.8670512
0.1664,,,,3.9722,,,-0.003,,,,
0.1694,3.9722,3.9722028,,,3.9723668,0.0,,-0.0050000004,0.127,4.4644197e-12,0.8670512
0.1694,,,,3.9722,,,-0.0050000004,,,,
0.1734,3.9722,3.9722016,,,3.9723668,0.0,,0.001,0.29700002,4.13475e-12,0.8670512
0.1734,,,,3.9722,,,0.001,,,,
0.1774,,,,3.9722,,,0.001,,,,
0.1774,3.9722,3.9722004,,,3.9723668,0.0,,0.001,0.29700002,3.80508e-12,0.8670512
0.1814,3.9722,3.9722,,,3.9723668,0.0,,-0.001,0.16900001,3.9926703e-12,0.8670512
0.1814,,,,3.9722,,,-0.001,,,,
0.1854,3.9722,3.9722009,,,3.9723668,0.0,,-0.007,0.46600002,7.613491e-12,0.8670512
0.1854,,,,3.9722,,,-0.007,,,,
0.1894,,,,3.9722,,,-0.004,,,,
0.1894,3.9722,3.9722009,,,3.9723668,0.0,,-0.004,0.38200003,9.3095705e-12,0.8670512
0.1934,3.9722,3.9722004,,,3.9723668,0.0,,-0.001,0.46600002,9.82683e-12,0.8670512
0.1934,,,,3.9722,,,-0.001,,,,
0.1974,,,,3.9722,,,0.0050000004,,,,
0.1974,3.9722,3.9721987,,,3.9723668,0.0,,0.0050000004,0.42400002,7.47363e-12,0.8670512
0.2014,,,,3.9722,,,-0.0,,,,
0.2014,3.9722,3.9721982,,,3.9723668,0.0,,-0.0,0.551,7.47363e-12,0.8670512
0.2054,,,,3.9722,,,-0.0,,,,
0.2054,3.9722,3.9721978,,,3.9723668,0.0,,-0.0,0.33900002,7.47363e-12,0.8670512
0.2094,,,,3.9722,,,0.003,,,,
0.2094,3.9722,3.9721968,,,3.9723668,0.0,,0.003,0.509,5.77866e-12,0.8670512
0.2144,3.9722,3.9721966,,,3.9723668,0.0,,-0.0,0.509,5.77866e-12,0.8670512
0.2144,,,,3.9722,,,-0.0,,,,
0.2174,3.9722,3.9721973,,,3.9723668,0.0,,-0.004,0.33900002,7.28382e-12,0.8670512
0.2174,,,,3.9722,,,-0.004,,,,
0.2214,,,,3.9722,,,0.004,,,,
0.2214,3.9722,3.9721963,,,3.9723668,0.0,,0.004,0.38200003,5.5877395e-12,0.8670512
0.2244,3.9722,3.9721963,,,3.9723668,0.0,,-0.0,0.551,5.5877395e-12,0.8670512
0.2254,,,,3.9722,,,-0.0,,,,
0.2294,3.9722,3.972197,,,3.9723668,0.0,,-0.003,0.16900001,6.1505094e-12,0.8670512
0.2294,,,,3.9722,,,-0.003,,,,
0.2334,,,,3.9722,,,0.0050000004,,,,
0.2334,3.9722,3.9721959,,,3.9723668,0.0,,0.0050000004,0.33900002,4.2690595e-12,0.8670512
0.2374,,,,3.9722,,,0.011000001,,,,
0.2374,3.9722,3.9721937,,,3.9723668,0.0,,0.011000001,0.33900002,1.2986892e-13,0.8670512
0.2414,,,,3.9722,,,0.0050000004,,,,
0.2414,3.9722,3.972193,,,3.9723668,0.0,,0.0050000004,0.33900002,-1.7515813e-12,0.8670512
0.2454,,,,3.9722,,,-0.008,,,,
0.2454,3.9722,3.9721951,,,3.9723668,0.0,,-0.008,0.33900002,1.2587389e-12,0.8670512
0.2494,3.9722,3.972197,,,3.9723668,0.0,,-0.008,0.38200003,4.650899e-12,0.8670512
0.2494,,,,3.9722,,,-0.008,,,,
0.2534,,,,3.9722,,,-0.0,,,,
0.2534,3.9722,3.9721968,,,3.9723668,0.0,,-0.0,0.59400004,4.650899e-12,0.8670512
0.2574,,,,3.9722,,,0.015000001,,,,
0.2574,3.9722,3.9721935,,,3.9723668,0.0,,0.015000001,0.21200001,1.121099e-12,0.8670512
0.2614,,,,3.9722,,,0.010000001,,,,
0.2614,3.9722,3.9721918,,,3.9723668,0.0,,0.010000001,0.59400004,-5.472302e-12,0.8670512
0.2654,3.9722,3.9721925,,,3.9723668,0.0,,-0.0,0.46600002,-5.472302e-12,0.8670512
0.2664,,,,3.9722,,,-0.0,,,,
0.2694,3.9722,3.972193,,,3.9723668,0.0,,-0.0,0.38200003,-5.472302e-12,0.8670512
0.2694,,,,3.9722,,,-0.0,,,,
0.2734,,,,3.9722,,,-0.001,,,,
0.2734,3.9722,3.9721937,,,3.9723668,0.0,,-0.001,0.38200003,-5.0482817e-12,0.8670512
0.2764,3.9722,3.9721944,,,3.9723668,0.0,,-0.001,0.38200003,-4.6242615e-12,0.8670512
0.2764,,,,3.9722,,,-0.001,,,,
0.2824,3.9722,3.972195,,,3.9723668,0.0,,-0.001,0.38200003,-4.2002413e-12,0.8670512
0.2824,,,,3.9722,,,-0.001,,,,
0.2854,,,,3.9722,,,0.003,,,,
0.2854,3.9722,3.9721944,,,3.9723668,0.0,,0.003,0.679,-6.461312e-12,0.8670512
0.2894,3.9722,3.9721956,,,3.9723668,0.0,,-0.004,0.679,-3.4465516e-12,0.8670512
0.2894,,,,3.9722,,,-0.004,,,,
0.2934,,,,3.9722,,,-0.006,,,,
0.2934,3.9722,3.972197,,,3.9723668,0.0,,-0.006,0.509,-5.6611725e-14,0.8670512
0.2974,,,,3.9722,,,-0.006,,,,
0.2974,3.9722,3.9721982,,,3.9723668,0.0,,-0.006,0.21200001,1.3553084e-12,0.8670512
0.299,,,3.972,,,,,,,,
0.3014,,,,3.972,,,-0.0,,,,
0.3014,3.972,3.97201,,,3.9723477,0.0,,-0.0,0.21200001,1.3553084e-12,0.8670268
0.3044,3.972,3.97201,,,3.9723477,0.0,,-0.0,0.21200001,1.3553084e-12,0.8670268
0.3054,,,,3.972,,,-0.0,,,,
0.3094,,,,3.972,,,-0.0,,,,
0.3094,3.972,3.97201,,,3.9723477,0.0,,-0.0,0.127,1.3553084e-12,0.8670268
0.3144,3.972,3.9720094,,,3.9723477,0.0,,0.002,0.29700002,6.959684e-13,0.8670268
0.3144,,,,3.972,,,0.002,,,,
0.3174,,,,3.972,,,-0.002,,,,
