time,ControlsOut.TS_current,CellVoltages.MinVoltage
0.0035,0.21700001,
0.0085,0.23600002,
0.0115,0.24900001,
0.0165,0.24900001,
0.0195,0.23700002,
0.0245,0.25100002,
0.0275,0.24100001,
0.0315,0.23,
0.0365,0.22700001,
0.0395,0.23900001,
0.0445,0.23900001,
0.0485,0.25,
0.0515,0.22600001,
0.0575,0.254,
0.0595,0.254,
0.0645,0.254,
0.0675,0.215,
0.0715,0.22100002,
0.0765,0.22100002,
0.0805,0.252,
0.0835,0.23500001,
0.0836,,3.9977
0.0875,0.23500001,
0.0925,0.23500001,
0.0965,0.24900001,
0.0995,0.224,
0.1045,0.23600002,
0.1085,0.23600002,
0.1115,0.21200001,
0.1165,0.21700001,
0.1205,0.246,
0.1235,0.231,
0.1275,0.254,
0.1315,0.22200002,
0.1365,0.23900001,
0.1395,0.23600002,
0.1435,0.22900002,
0.1475,0.23600002,
0.1515,0.24200001,
0.1575,0.231,
0.1605,0.231,
0.1635,0.23,
0.1675,0.23500001,
0.1725,0.23200001,
0.1765,0.23600002,
0.1795,0.24400002,
0.1841,0.21200001,
0.1871,0.231,
0.1911,0.245,
0.1951,0.245,
0.1991,0.256,
0.2021,0.25300002,
0.2071,0.24700001,
0.2101,0.209,
0.2151,0.25800002,
0.2181,0.26000002,
0.2231,0.246,
0.2271,0.224,
0.2301,0.24400002,
0.2351,0.25,
0.2391,0.21700001,
0.2421,0.24200001,
0.2461,0.21700001,
0.2501,0.246,
0.2551,0.246,
0.2581,0.246,
0.2631,0.246,
0.2671,0.21700001,
0.2701,0.22200002,
0.2751,0.223,
0.2791,0.263,
0.2821,0.254,
0.2847,,3.9977
0.2861,0.254,
0.2911,0.24000001,
0.2951,0.224,
0.2981,0.24100001,
0.3031,0.23,
0.3071,0.23,
0.3111,0.231,
0.3151,0.23300001,
0.3181,0.25300002,
0.3221,0.23300001,
0.3271,0.23200001,
0.3301,0.22200002,
0.3351,0.238,
0.3391,0.22600001,
0.3431,0.22200002,
0.3471,0.216,
0.3501,0.21900001,
0.3561,0.21900001,
0.3591,0.25300002,
0.3631,0.246,
0.3671,0.22200002,
0.3701,0.22000001,
0.3751,0.223,
0.3791,0.22500001,
0.3821,0.254,
0.3871,0.23600002,
0.3911,0.20700002,
0.3951,0.24800001,
0.3981,0.216,
0.4031,0.23900001,
0.4071,0.23400001,
0.4101,0.24700001,
0.4151,0.23900001,
0.4191,0.246,
0.4231,0.24300002,
0.4271,0.23600002,
0.4311,0.23900001,
0.4351,0.246,
0.4391,0.246,
0.4431,0.25,
